epoch,train_loss,train_mae_m,train_rmse_m,val_loss,val_mae_m,val_rmse_m,train_valid_pixels,val_valid_pixels
1,0.0041840683358411,4.58833147860226,7.515905022478888,0.005286073156942924,4.117406243702701,8.520929105582663,88035,22331
2,0.003412474053523814,3.912245595679275,6.716400243545558,0.005006265613095214,3.99542120713638,8.297104907550926,88035,22331
3,0.003230186499422416,3.735836110992787,6.4652796377924995,0.004679925138286005,4.016925042541758,8.032150719272396,88035,22331
4,0.0030505815617895373,3.6413040179332086,6.342674993744869,0.004231546869656692,3.982639263034011,7.641660855619337,88035,22331
5,0.0029388078643629947,3.4322351594891236,6.172927452344912,0.003912559632832806,3.854320892201424,7.3239297983002505,88035,22331
6,0.0029825661913491786,3.6067863855639803,6.193894923241494,0.0038682851009070873,3.8923000817249562,7.2947321208905525,88035,22331
7,0.002888877051494395,3.4787775946711537,6.145705911340931,0.003926211851648986,3.91244173248511,7.367889826724212,88035,22331
8,0.0029078132453529784,3.562071659176748,6.135574093725047,0.0038198287365958095,3.8637264341050557,7.245814779203091,88035,22331
9,0.0027246076109198234,3.472294022796331,5.9614089939273445,0.003834291943348944,3.916369935571627,7.24143949738984,88035,22331
10,0.0026602284245503447,3.279176628081161,5.92688987299589,0.003932704838613669,3.839960556163517,7.303776235676816,88035,22331
11,0.0025673957522182413,3.3432257944283523,5.857912076466298,0.003821190989886721,3.926332963425283,7.260379182260584,88035,22331
12,0.0026250177761539817,3.2786752738612486,5.828709924568364,0.003935148493231584,3.7856838675076125,7.40504936219894,88035,22331
13,0.002624311668720717,3.3773209652056,5.837506899535465,0.0036313782523696623,3.7334697194343067,7.095298951208584,88035,22331
14,0.0026466324052307755,3.425132748604958,5.887703553965364,0.004015163402073085,4.042310157404505,7.333964679362773,88035,22331
15,0.0024172076761412122,3.146902477086528,5.657169234339142,0.003640549082774669,3.7275238002944335,7.1034829646565445,88035,22331
16,0.002582125714980066,3.4337468096850685,5.768046399572461,0.003822416804420451,3.8505332413461106,7.236798926615801,88035,22331
17,0.0024478741106577218,3.2805257896362243,5.729733741303979,0.0036437461773554483,3.7029724216755855,7.0739047557132295,88035,22331
18,0.002282934990944341,3.0374271973682343,5.46540110668665,0.003409195070465406,3.645394154986342,6.846704323102778,88035,22331
19,0.002468060265528038,3.221670092150849,5.751074308657244,0.0035401383647695184,3.675089334193498,6.979793487536377,88035,22331
20,0.0023137133296889565,3.2400507876838756,5.511422664406952,0.0036474309551219144,3.893098264464198,7.079625366099885,88035,22331
