sample_index,sample_token,depth_source,pseudo_points,lidar_points,pseudo_to_gt_mean_nn,pseudo_to_gt_median_nn,pseudo_to_gt_p90_nn,pseudo_to_gt_p95_nn,gt_to_pseudo_mean_nn,gt_to_pseudo_median_nn,gt_to_pseudo_p90_nn,gt_to_pseudo_p95_nn,bev_iou
0,3e8750f331d7499e9b5123e9eb70f2e2,depth_pro,16044,24443,1.630286693572998,0.9214123487472534,3.9906650781631474,5.951363396644592,1.5144492387771606,1.0724318027496338,3.1174848079681396,3.1237499713897705,0.1952394446018702
0,3e8750f331d7499e9b5123e9eb70f2e2,refined,19250,24443,1.6144754886627197,0.8228650093078613,4.330404949188236,6.876594877243041,1.4034056663513184,0.9023571014404297,3.038478374481201,3.0508995056152344,0.1945945945945946
1,3950bd41f74548429c0f7700ff3d8269,depth_pro,18125,24773,1.6357051134109497,0.9182267785072327,3.6227503776550294,6.75674791336059,1.6886506080627441,1.0266646146774292,3.697896957397461,3.732289934158324,0.20069761202039174
1,3950bd41f74548429c0f7700ff3d8269,refined,21681,24773,1.457463264465332,0.8271807432174683,3.168536901473999,4.918080806732178,1.478740930557251,0.8388447761535645,3.356858730316162,3.3745458126068115,0.18613138686131386
2,c5f58c19249d4137ae063b0e9ecd8b8e,depth_pro,17996,25197,1.1834468841552734,0.7145286798477173,2.411361813545227,3.3824360966682434,1.5422292947769165,1.1488147974014282,2.9928812980651855,3.0064289569854736,0.22093959731543625
2,c5f58c19249d4137ae063b0e9ecd8b8e,refined,21379,25197,1.0931757688522339,0.7886674404144287,2.2740808010101334,3.180263447761535,1.4629100561141968,0.9848717451095581,3.0269196033477783,3.0410616397857666,0.2221451687471105
3,700c1a25559b4433be532de3475e58a9,depth_pro,18647,25471,1.393212080001831,0.7526911497116089,2.3902944087982196,7.166267681121829,1.684708833694458,0.9521594643592834,3.8467185497283936,3.8507587909698486,0.230446582778189
3,700c1a25559b4433be532de3475e58a9,refined,22211,25471,1.0261119604110718,0.6394051313400269,1.9606986045837402,2.6615313291549683,1.4822841882705688,0.8183359503746033,3.3501131534576416,3.3635222911834717,0.2202928870292887
4,747aa46b9a4641fe90db05d97db2acea,depth_pro,17500,25309,0.9707251191139221,0.6125906705856323,1.6291688323020939,2.2343133926391587,1.7926095724105835,1.2114641666412354,4.08046293258667,4.1144561767578125,0.2314293376240279
4,747aa46b9a4641fe90db05d97db2acea,refined,21579,25309,0.9305449724197388,0.6186062097549438,1.801597023010254,2.2406908988952634,1.6532158851623535,1.0727577209472656,3.803471565246582,3.836134195327759,0.2165380374862183
5,f4f86af4da3b49e79497deda5c5f223a,depth_pro,15889,24931,0.7754740715026855,0.5822214484214783,1.3729165554046632,1.8238786697387674,1.517464280128479,0.9095597863197327,3.6703898906707764,3.705622911453247,0.23180735644350356
5,f4f86af4da3b49e79497deda5c5f223a,refined,22526,24931,0.7373939752578735,0.5308005809783936,1.5412596464157104,1.8741759955883026,1.4403948783874512,0.8684237003326416,3.552963972091675,3.589024066925049,0.23151269948302988
6,6832e717621341568c759151b5974512,depth_pro,15050,25024,0.7758010029792786,0.5040512084960938,1.8714248657226564,2.2243822097778314,1.476396083831787,0.9141274690628052,3.5534892082214355,3.5669925212860107,0.246023038946791
6,6832e717621341568c759151b5974512,refined,22134,25024,0.8474860191345215,0.5941673517227173,1.8360986590385437,2.272775185108184,1.3068841695785522,0.8609659671783447,2.9307644367218018,2.940854787826538,0.21887944190102462
7,c59e60042a8643e899008da2e446acca,depth_pro,16302,25000,0.7856168150901794,0.5327764749526978,1.7882957100868224,2.0536483645439136,1.5591137409210205,0.8429858684539795,4.301693439483643,4.323694229125977,0.2668653481441344
7,c59e60042a8643e899008da2e446acca,refined,21367,25000,0.6737474799156189,0.46211332082748413,1.4913373947143556,1.8315863728523256,1.3765794038772583,0.7219454646110535,3.7468690872192383,3.7577872276306152,0.27299042529503453
8,fa65a298c01f44e7a182bbf9e5fe3697,depth_pro,16177,24397,0.6621668934822083,0.43848085403442383,1.4949074268341063,1.9196502685546872,1.4116249084472656,0.7758638858795166,4.014557456970215,4.031754493713379,0.2621035058430718
8,fa65a298c01f44e7a182bbf9e5fe3697,refined,21001,24397,0.6480213403701782,0.4693586528301239,1.3981616497039795,1.675608515739441,1.2780009508132935,0.707824170589447,3.4521428585052494,3.4758529663085938,0.2368596141051231
9,a98fba72bde9433fb882032d18aedb2e,depth_pro,16182,24239,0.7714356184005737,0.5856026411056519,1.6161696910858154,1.9129269897937766,1.5201747417449951,0.9937093257904053,3.917590379714966,3.9563400745391846,0.23572433192686357
9,a98fba72bde9433fb882032d18aedb2e,refined,21095,24239,0.7191994190216064,0.5400410294532776,1.4952979803085338,1.7136348843574523,1.4163392782211304,0.8950309157371521,3.5382068157196045,3.5769760608673096,0.24544792425345957
